Graph ID,Edge ID,Source Node,Target Node,Guard Condition,Operator,Source Line,Edge Role
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E001,G02,CODEX170,,-->,4,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E002,G02,CODEX139,,-->,5,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E003,G02,TRIGGER_ARCH,,-->,6,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E004,TRIGGER_ARCH,T516,,-->,8,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E005,TRIGGER_ARCH,T520,,-->,9,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E006,TRIGGER_ARCH,T540,,-->,10,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E007,TRIGGER_ARCH,T544,,-->,11,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E008,TRIGGER_ARCH,T777,,-->,12,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E009,CODEX170,PRINZIPIEN,,-->,14,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E010,PRINZIPIEN,ORA,,-->,15,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E011,PRINZIPIEN,TRIQUETRA,,-->,16,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E012,PRINZIPIEN,EIS,,-->,17,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E013,PRINZIPIEN,FDAS,,-->,18,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E014,G02,TRIGGER_LISTEN,,-->,20,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E015,TRIGGER_LISTEN,T174_210,,-->,21,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E016,TRIGGER_LISTEN,T600,,-->,22,unlabeled_transition
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E017,TRIGGER_LISTEN,EMERGENT,,-->,23,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E001,G05,PROMPTS,,-->,4,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E002,G05,METAROTIK,,-->,5,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E003,G05,GENESIS,,-->,6,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E004,G05,FRAMEWORK,,-->,7,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E005,PROMPTS,P_EXPORT,,-->,9,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E006,PROMPTS,P_LAUNCH,,-->,10,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E007,PROMPTS,P_LINKEDIN,,-->,11,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E008,PROMPTS,P_CONTENT,,-->,12,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E009,P_CONTENT,P1,,-->,14,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E010,P_CONTENT,P2,,-->,15,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E011,P_CONTENT,P3,,-->,16,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E012,P_CONTENT,P4,,-->,17,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E013,P_CONTENT,P5,,-->,18,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E014,P_CONTENT,P_MORE,,-->,19,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E015,METAROTIK,M_SALES,,-->,21,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E016,METAROTIK,M_PLAN,,-->,22,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E017,METAROTIK,M_INTERN,,-->,23,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E018,METAROTIK,M_CODEX,,-->,24,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E019,GENESIS,GEN_CONCEPT,,-->,26,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E020,GENESIS,GEN_PRICE,,-->,27,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E021,FRAMEWORK,FW_CONCEPT,,-->,29,unlabeled_transition
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E022,FRAMEWORK,FW_CONTENT,,-->,30,unlabeled_transition
ordner-06-technische-dokumentation-detail,ordner-06-technische-dokumentation-detail-E001,G06,DELTA,,-->,4,unlabeled_transition
ordner-06-technische-dokumentation-detail,ordner-06-technische-dokumentation-detail-E002,G06,RAS,,-->,5,unlabeled_transition
ordner-06-technische-dokumentation-detail,ordner-06-technische-dokumentation-detail-E003,G06,VORTEX,,-->,6,unlabeled_transition
ordner-06-technische-dokumentation-detail,ordner-06-technische-dokumentation-detail-E004,G06,API,,-->,7,unlabeled_transition
ordner-06-technische-dokumentation-detail,ordner-06-technische-dokumentation-detail-E005,G06,PATENTE,,-->,8,unlabeled_transition
ordner-06-technische-dokumentation-detail,ordner-06-technische-dokumentation-detail-E006,DELTA,DELTA_GUIDE,,-->,10,unlabeled_transition
ordner-06-technische-dokumentation-detail,ordner-06-technische-dokumentation-detail-E007,DELTA,DELTA_SCRIPT,,-->,11,unlabeled_transition
ordner-06-technische-dokumentation-detail,ordner-06-technische-dokumentation-detail-E008,DELTA,DELTA_PROPS,,-->,12,unlabeled_transition
ordner-06-technische-dokumentation-detail,ordner-06-technische-dokumentation-detail-E009,DELTA,DELTA_PROTOCOL,,-->,13,unlabeled_transition
